,Fund1,Fund2,DTW_distance
129,AMG Montrusco Bolton Large Cap Growth Fd,PGIM Jennison Blend Fund,676.9585844724033
130,AMG Montrusco Bolton Large Cap Growth Fd,PGIM Jennison Growth Fund,1205.8940915462
131,AMG Montrusco Bolton Large Cap Growth Fd,Pioneer Disciplined Growth Fund,808.5873442972247
132,AMG Montrusco Bolton Large Cap Growth Fd,Pioneer Fundamental Growth Fund,798.4767789717234
133,AMG Montrusco Bolton Large Cap Growth Fd,Polen Growth Fund,1003.4471763714722
134,AMG Montrusco Bolton Large Cap Growth Fd,PrimeCap Odyssey Growth Fund,1029.9301460857373
135,AMG Montrusco Bolton Large Cap Growth Fd,Principal LargeCap Growth Fund I,1020.5626117734462
136,AMG Montrusco Bolton Large Cap Growth Fd,Putnam Large Cap Growth Fund,965.1630168814448
137,AMG Montrusco Bolton Large Cap Growth Fd,Putnam Sustainable Leaders Fund,822.2230528150697
138,AMG Montrusco Bolton Large Cap Growth Fd,SEI Large Cap Growth (SIMT) Fund,719.2215840138347
139,AMG Montrusco Bolton Large Cap Growth Fd,Schwab Select Large Cap Growth Fund,1097.3745375474887
140,AMG Montrusco Bolton Large Cap Growth Fd,T. Rowe Price Instl Large Cap Core Gr Fd,914.1643242704305
141,AMG Montrusco Bolton Large Cap Growth Fd,TCW Select Equities Fund,952.8907745054933
142,AMG Montrusco Bolton Large Cap Growth Fd,TIAA-CREF Large-Cap Growth Fund,967.7752738691095
143,AMG Montrusco Bolton Large Cap Growth Fd,Thrivent Large Cap Growth Fund,1076.6530946323091
144,AMG Montrusco Bolton Large Cap Growth Fd,Transamerica Capital Growth Fund,1698.864542885645
145,AMG Montrusco Bolton Large Cap Growth Fd,Transamerica US Growth,972.9390310085391
146,AMG Montrusco Bolton Large Cap Growth Fd,VALIC Company I Growth Fund,815.8706004149594
147,AMG Montrusco Bolton Large Cap Growth Fd,VY® T. Rowe Price Growth Equity Port,925.4809079831635
148,AMG Montrusco Bolton Large Cap Growth Fd,Vanguard US Growth Portfolio,998.7446393575472
149,AMG Montrusco Bolton Large Cap Growth Fd,Victory Aggressive Growth,944.9069501068662
150,AMG Montrusco Bolton Large Cap Growth Fd,Victory Growth,915.9375112589727
